"Work ID",answers,"inner score"
0081230672,"1::بیشتر اوقات, 2::گاهی اوقات, 3::بیشتر اوقات, 4::همیشه, 5::همیشه, 6::گاهی اوقات, 7::اصلا  درباره من صدق نمی‌کند, 8::اصلا  درباره من صدق نمی‌کند, 9::به ندرت, 10::اصلا  درباره من صدق نمی‌کند, 11::گاهی اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::گاهی اوقات, 16::همیشه, 17::بیشتر اوقات, 18::اصلا  درباره من صدق نمی‌کند, 19::به ندرت, 20::بیشتر اوقات, 21::اصلا  درباره من صدق نمی‌کند, 22::گاهی اوقات, 23::بیشتر اوقات, 24::بیشتر اوقات, 25::گاهی اوقات",69
77000744,"1::همیشه, 2::به ندرت, 3::گاهی اوقات, 4::به ندرت, 5::اصلا  درباره من صدق نمی‌کند, 6::همیشه, 7::به ندرت, 8::اصلا  درباره من صدق نمی‌کند, 9::به ندرت, 10::اصلا  درباره من صدق نمی‌کند, 11::به ندرت, 12::گاهی اوقات, 13::اصلا  درباره من صدق نمی‌کند, 14::گاهی اوقات, 15::گاهی اوقات, 16::اصلا  درباره من صدق نمی‌کند, 17::به ندرت, 18::به ندرت, 19::اصلا  درباره من صدق نمی‌کند, 20::به ندرت, 21::اصلا  درباره من صدق نمی‌کند, 22::بیشتر اوقات, 23::همیشه, 24::اصلا  درباره من صدق نمی‌کند, 25::به ندرت",57
12345678901,"1::همیشه, 2::به ندرت, 3::بیشتر اوقات, 4::همیشه, 5::همیشه, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::گاهی اوقات, 9::همیشه, 10::همیشه, 11::بیشتر اوقات, 12::اصلا  درباره من صدق نمی‌کند, 13::همیشه, 14::همیشه, 15::همیشه, 16::گاهی اوقات, 17::به ندرت, 18::گاهی اوقات, 19::بیشتر اوقات, 20::همیشه, 21::همیشه, 22::همیشه, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",86
76236684,"1::به ندرت, 2::به ندرت",
140022,"1::همیشه, 2::بیشتر اوقات, 3::بیشتر اوقات, 4::بیشتر اوقات, 5::گاهی اوقات, 6::به ندرت, 7::بیشتر اوقات, 8::به ندرت, 9::گاهی اوقات, 10::بیشتر اوقات, 11::گاهی اوقات, 12::گاهی اوقات, 13::بیشتر اوقات, 14::گاهی اوقات, 15::بیشتر اوقات, 16::همیشه, 17::بیشتر اوقات, 18::به ندرت, 19::بیشتر اوقات, 20::به ندرت, 21::گاهی اوقات, 22::بیشتر اوقات, 23::بیشتر اوقات, 24::گاهی اوقات, 25::به ندرت",85
1297,"1::اصلا  درباره من صدق نمی‌کند, 2::اصلا  درباره من صدق نمی‌کند, 3::به ندرت, 4::اصلا  درباره من صدق نمی‌کند, 5::گاهی اوقات, 6::اصلا  درباره من صدق نمی‌کند, 7::به ندرت, 8::گاهی اوقات, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::به ندرت, 12::اصلا  درباره من صدق نمی‌کند, 13::گاهی اوقات, 14::به ندرت, 15::اصلا  درباره من صدق نمی‌کند, 16::به ندرت, 17::اصلا  درباره من صدق نمی‌کند, 18::به ندرت, 19::اصلا  درباره من صدق نمی‌کند, 20::به ندرت, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::به ندرت",40
1226,"1::گاهی اوقات, 2::اصلا  درباره من صدق نمی‌کند, 3::اصلا  درباره من صدق نمی‌کند, 4::اصلا  درباره من صدق نمی‌کند, 5::اصلا  درباره من صدق نمی‌کند, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::اصلا  درباره من صدق نمی‌کند, 9::اصلا  درباره من صدق نمی‌کند, 10::به ندرت, 11::اصلا  درباره من صدق نمی‌کند, 12::اصلا  درباره من صدق نمی‌کند, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::اصلا  درباره من صدق نمی‌کند, 17::اصلا  درباره من صدق نمی‌کند, 18::به ندرت, 19::اصلا  درباره من صدق نمی‌کند, 20::اصلا  درباره من صدق نمی‌کند, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::اصلا  درباره من صدق نمی‌کند, 24::اصلا  درباره من صدق نمی‌کند, 25::اصلا  درباره من صدق نمی‌کند",29
140215,"1::گاهی اوقات, 2::به ندرت, 3::گاهی اوقات, 4::اصلا  درباره من صدق نمی‌کند, 5::گاهی اوقات, 6::اصلا  درباره من صدق نمی‌کند, 7::اصلا  درباره من صدق نمی‌کند, 8::اصلا  درباره من صدق نمی‌کند, 9::به ندرت, 10::به ندرت, 11::به ندرت, 12::اصلا  درباره من صدق نمی‌کند, 13::به ندرت, 14::به ندرت, 15::به ندرت, 16::گاهی اوقات, 17::به ندرت, 18::گاهی اوقات, 19::اصلا  درباره من صدق نمی‌کند, 20::گاهی اوقات, 21::اصلا  درباره من صدق نمی‌کند, 22::اصلا  درباره من صدق نمی‌کند, 23::گاهی اوقات, 24::اصلا  درباره من صدق نمی‌کند, 25::به ندرت",48
50000530,"1::گاهی اوقات, 2::گاهی اوقات, 3::گاهی اوقات, 4::اصلا  درباره من صدق نمی‌کند, 5::به ندرت, 6::به ندرت, 7::اصلا  درباره من صدق نمی‌کند, 8::به ندرت, 9::به ندرت, 10::بیشتر اوقات, 11::گاهی اوقات, 12::به ندرت, 13::اصلا  درباره من صدق نمی‌کند, 14::اصلا  درباره من صدق نمی‌کند, 15::اصلا  درباره من صدق نمی‌کند, 16::به ندرت, 17::بیشتر اوقات, 18::به ندرت, 19::به ندرت, 20::به ندرت, 21::به ندرت, 22::گاهی اوقات, 23::گاهی اوقات, 24::گاهی اوقات, 25::به ندرت",
76236381,"1::گاهی اوقات, 2::گاهی اوقات, 3::گاهی اوقات, 4::به ندرت, 5::به ندرت, 6::به ندرت, 7::به ندرت, 8::به ندرت, 9::به ندرت, 10::گاهی اوقات, 11::گاهی اوقات, 12::به ندرت, 13::گاهی اوقات, 14::به ندرت, 15::به ندرت, 16::بیشتر اوقات, 17::گاهی اوقات, 18::گاهی اوقات, 19::به ندرت, 20::به ندرت, 21::به ندرت, 22::گاهی اوقات, 23::گاهی اوقات, 24::به ندرت, 25::گاهی اوقات",63
